"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","vae.gouv.fr/148.253.96.193","443","INFO","HTTP","",""
"pre_128cipher","vae.gouv.fr/148.253.96.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","vae.gouv.fr/148.253.96.193","443","OK","not offered","",""
"SSLv3","vae.gouv.fr/148.253.96.193","443","OK","not offered","",""
"TLS1","vae.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_1","vae.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"TLS1_2","vae.gouv.fr/148.253.96.193","443","OK","offered","",""
"TLS1_3","vae.gouv.fr/148.253.96.193","443","OK","offered with final","",""
"ALPN_HTTP2","vae.gouv.fr/148.253.96.193","443","OK","h2","",""
"ALPN","vae.gouv.fr/148.253.96.193","443","INFO","http/1.1","",""
"cipherlist_NULL","vae.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","vae.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","vae.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","vae.gouv.fr/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","vae.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","vae.gouv.fr/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","vae.gouv.fr/148.253.96.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","vae.gouv.fr/148.253.96.193","443","OK","offered","",""
"cipher_order-tls1_2","vae.gouv.fr/148.253.96.193","443","OK","server","",""
"cipherorder_TLSv1_2","vae.gouv.fr/148.253.96.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","vae.gouv.fr/148.253.96.193","443","OK","server","",""
"FS","vae.gouv.fr/148.253.96.193","443","OK","offered","",""
"FS_ciphers","vae.gouv.fr/148.253.96.193","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","vae.gouv.fr/148.253.96.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","vae.gouv.fr/148.253.96.193","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","vae.gouv.fr/148.253.96.193","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","vae.gouv.fr/148.253.96.193","443","INFO","yes","",""
"sessionresumption_ticket","vae.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"sessionresumption_ID","vae.gouv.fr/148.253.96.193","443","INFO","not supported","",""
"TLS_timestamp","vae.gouv.fr/148.253.96.193","443","INFO","random","",""
"certificate_compression","vae.gouv.fr/148.253.96.193","443","INFO","none","",""
"clientAuth","vae.gouv.fr/148.253.96.193","443","INFO","none","",""
"cert_numbers","vae.gouv.fr/148.253.96.193","443","INFO","1","",""
"cert_signatureAlgorithm","vae.gouv.fr/148.253.96.193","443","OK","SHA256 with RSA","",""
"cert_keySize","vae.gouv.fr/148.253.96.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","vae.gouv.fr/148.253.96.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","vae.gouv.fr/148.253.96.193","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","vae.gouv.fr/148.253.96.193","443","INFO","041C68AD8476FA8410FF2150830A6CEB28EC","",""
"cert_serialNumberLen","vae.gouv.fr/148.253.96.193","443","INFO","18","",""
"cert_fingerprintSHA1","vae.gouv.fr/148.253.96.193","443","INFO","39AAA9EDBA152A898433E8ED564B83AAC0764B81","",""
"cert_fingerprintSHA256","vae.gouv.fr/148.253.96.193","443","INFO","57426ACD9873219BC123359504181D5F8B8CE00032271983E2336956F0E36631","",""
"cert","vae.gouv.fr/148.253.96.193","443","INFO","-----BEGIN CERTIFICATE-----\nMIIE5DCCA8ygAwIBAgISBBxorYR2+oQQ/yFQgwps6yjsMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yNDA0MTUwNzMwMDlaFw0yNDA3MTQwNzMwMDhaMBYxFDASBgNVBAMTC3ZhZS5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA8qcXYfpAwtrbs790yk+WchksrJHzG4WpR1MHZEXfiWoWbIkwkRbJBpBmtL+nwX5i+39UsFlWtIpBb8jY1whVisaSu821BCP3tttKUHbV+Kl7aEAWDvkqRQRhoqYuAHOhyWRPCbMRb4pR9Ah3FfSImDT87LXt2jX20vJMUsnnigcyScb7yUclNYomdIItZFkCEzkBZ8Og7sVbyENG+3Vm8QFu4Ibrjq5DUU+5smbCAAuNlJWlE7pvphUnrngs4kz0fvI2wtVRGYWRf15JPPAHpuoixO4Xr5NV5Zuf/JfE6LU7ZzaNhb18TTMzwsuKdqGp0Yc8nz2XJjbFVCXkD8CE/QIDAQABo4ICDjCCAgowDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSZ3eiZIs5eYgL/I9lOK3+WllVrqjAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzAWBgNVHREEDzANggt2YWUuZ291di5mcjATBgNVHSAEDDAKMAgGBmeBDAECATCCAQUGCisGAQQB1nkCBAIEgfYEgfMA8QB3AO7N0GTV2xrOxVy3nbTNE6Iyh0Z8vOzew1FIWUZxH7WbAAABjuDgwqwAAAQDAEgwRgIhAMYfUnlIwvOws1XCzHrzg6L1etP6+TjDRf93Xn17lnOwAiEApDB1ZpsEUUD77FMJ2tDOl+NivxmyOvXT5mhiCJ2fEaoAdgAZmBBxCfDWUi4wgNKeP2S7g24ozPkPUo7u385KPxa0ygAAAY7g4MK8AAAEAwBHMEUCIEv3u03x/VQicxO2lEzkH6jGf7v7k7tb6SNji++ZpWShAiEA20Kn9Z2Vt358IBWMOK/PoRgYqZUvMdjLMkXcWHNCr44wDQYJKoZIhvcNAQELBQADggEBAExObubRUxByGvgIzkIK7dGK9guJA9UuBNujkhW9yKPCO+aWaNarsXZIr9yp5t+1+n6ygsYhSGIOlhkBaVtleyUgpktO7pyf2Zn/Sd4zHzysBgRORDxWPaHsuQQCUaDiUvACDU5lg9llKwf4oM0nAybMcmC8MPBf3akHsnNjg7AUVIQV6JgQpXVdL6HYtcDlNahHrR1jbWPbwx+AsceWRn0i4QIdVbhkdVFt9c/PtSZ7MzMlshbT7FV0E0npe0lvaa/HUMWaV40/Fl9/SRSN5vv3VvbSTuiOkrRppOPv8KQfphP3vQ1AmVmQNUNwIThtAiyBKTv7qRL0jgkILihjhFM=\n-----END CERTIFICATE-----","",""
"cert_commonName","vae.gouv.fr/148.253.96.193","443","OK","vae.gouv.fr","",""
"cert_commonName_wo_SNI","vae.gouv.fr/148.253.96.193","443","INFO","*.osc-secnum-fr1.scalingo.io","",""
"cert_subjectAltName","vae.gouv.fr/148.253.96.193","443","INFO","vae.gouv.fr","",""
"cert_trust","vae.gouv.fr/148.253.96.193","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","vae.gouv.fr/148.253.96.193","443","OK","passed.","",""
"cert_certificatePolicies_EV","vae.gouv.fr/148.253.96.193","443","INFO","no","",""
"cert_expirationStatus","vae.gouv.fr/148.253.96.193","443","OK","76 >= 30 days","",""
"cert_notBefore","vae.gouv.fr/148.253.96.193","443","INFO","2024-04-15 07:30","",""
"cert_notAfter","vae.gouv.fr/148.253.96.193","443","OK","2024-07-14 07:30","",""
"cert_extlifeSpan","vae.gouv.fr/148.253.96.193","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","vae.gouv.fr/148.253.96.193","443","INFO","not present","",""
"cert_crlDistributionPoints","vae.gouv.fr/148.253.96.193","443","INFO","--","",""
"cert_ocspURL","vae.gouv.fr/148.253.96.193","443","INFO","http://r3.o.lencr.org","",""
"OCSP_stapling","vae.gouv.fr/148.253.96.193","443","LOW","not offered","",""
"cert_mustStapleExtension","vae.gouv.fr/148.253.96.193","443","INFO","--","",""
"DNS_CAArecord","vae.gouv.fr/148.253.96.193","443","LOW","--","",""
"certificate_transparency","vae.gouv.fr/148.253.96.193","443","OK","yes (certificate extension)","",""
"certs_countServer","vae.gouv.fr/148.253.96.193","443","INFO","2","",""
"certs_list_ordering_problem","vae.gouv.fr/148.253.96.193","443","INFO","no","",""
"cert_caIssuers","vae.gouv.fr/148.253.96.193","443","INFO","R3 (Let's Encrypt from US)","",""
