"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","backend.passculture.pro/34.110.250.196","443","INFO","HTTP","",""
"pre_128cipher","backend.passculture.pro/34.110.250.196","443","INFO","No 128 cipher limit bug","",""
"SSLv2","backend.passculture.pro/34.110.250.196","443","OK","not offered","",""
"SSLv3","backend.passculture.pro/34.110.250.196","443","OK","not offered","",""
"TLS1","backend.passculture.pro/34.110.250.196","443","LOW","offered (deprecated)","",""
"TLS1_1","backend.passculture.pro/34.110.250.196","443","LOW","offered (deprecated)","",""
"TLS1_2","backend.passculture.pro/34.110.250.196","443","OK","offered","",""
"TLS1_3","backend.passculture.pro/34.110.250.196","443","OK","offered with final","",""
"ALPN_HTTP2","backend.passculture.pro/34.110.250.196","443","OK","h2","",""
"ALPN","backend.passculture.pro/34.110.250.196","443","INFO","http/1.1grpc-exp","",""
"cipherlist_NULL","backend.passculture.pro/34.110.250.196","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","backend.passculture.pro/34.110.250.196","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","backend.passculture.pro/34.110.250.196","443","OK","not offered","","CWE-327"
"cipherlist_LOW","backend.passculture.pro/34.110.250.196","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","backend.passculture.pro/34.110.250.196","443","MEDIUM","offered","","CWE-310"
"cipherlist_OBSOLETED","backend.passculture.pro/34.110.250.196","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","backend.passculture.pro/34.110.250.196","443","OK","offered","",""
"cipherlist_STRONG_FS","backend.passculture.pro/34.110.250.196","443","OK","offered","",""
"cipher_order-tls1","backend.passculture.pro/34.110.250.196","443","OK","server","",""
"cipherorder_TLSv1","backend.passculture.pro/34.110.250.196","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_1","backend.passculture.pro/34.110.250.196","443","OK","server","",""
"cipherorder_TLSv1_1","backend.passculture.pro/34.110.250.196","443","INFO","ECDHE-RSA-AES128-SHA","",""
"cipher_order-tls1_2","backend.passculture.pro/34.110.250.196","443","OK","server","",""
"cipherorder_TLSv1_2","backend.passculture.pro/34.110.250.196","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","backend.passculture.pro/34.110.250.196","443","OK","server -- TLS 1.3 client determined","",""
"FS","backend.passculture.pro/34.110.250.196","443","OK","offered","",""
"FS_ciphers","backend.passculture.pro/34.110.250.196","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA","",""
"FS_ECDHE_curves","backend.passculture.pro/34.110.250.196","443","OK","prime256v1 secp384r1","",""
"TLS_extensions","backend.passculture.pro/34.110.250.196","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'next protocol/#13172' 'key share/#51' 'supported versions/#43' 'extended master secret/#23' 'application layer protocol negotiation/#16'","",""
"TLS_session_ticket","backend.passculture.pro/34.110.250.196","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","backend.passculture.pro/34.110.250.196","443","INFO","yes","",""
"sessionresumption_ticket","backend.passculture.pro/34.110.250.196","443","INFO","supported","",""
"sessionresumption_ID","backend.passculture.pro/34.110.250.196","443","INFO","not supported","",""
"TLS_timestamp","backend.passculture.pro/34.110.250.196","443","INFO","off by 0 seconds from your localtime","",""
"certificate_compression","backend.passculture.pro/34.110.250.196","443","INFO","none","",""
"clientAuth","backend.passculture.pro/34.110.250.196","443","INFO","none","",""
"cert_numbers","backend.passculture.pro/34.110.250.196","443","INFO","1","",""
"cert_signatureAlgorithm","backend.passculture.pro/34.110.250.196","443","OK","SHA256 with RSA","",""
"cert_keySize","backend.passculture.pro/34.110.250.196","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","backend.passculture.pro/34.110.250.196","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","backend.passculture.pro/34.110.250.196","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","backend.passculture.pro/34.110.250.196","443","INFO","D3E9EE04ACA38EB509D787C9198E2A04","",""
"cert_serialNumberLen","backend.passculture.pro/34.110.250.196","443","INFO","16","",""
"cert_fingerprintSHA1","backend.passculture.pro/34.110.250.196","443","INFO","98E6E3B5683864A01EC11A8AD3ABD9158CD01419","",""
"cert_fingerprintSHA256","backend.passculture.pro/34.110.250.196","443","INFO","8E5FDE982A2263DFC353CF6D42537879B8D6F737C62679809DB0062D88F0CDC3","",""
"cert","backend.passculture.pro/34.110.250.196","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFczCCBFugAwIBAgIRANPp7gSso461CdeHyRmOKgQwDQYJKoZIhvcNAQELBQAwRjELMAkGA1UEBhMCVVMxIjAgBgNVBAoTGUdvb2dsZSBUcnVzdCBTZXJ2aWNlcyBMTEMxEzARBgNVBAMTCkdUUyBDQSAxRDQwHhcNMjMxMjI2MDg1NTQ1WhcNMjQwMzI1MDk1MTQxWjAiMSAwHgYDVQQDExdiYWNrZW5kLnBhc3NjdWx0dXJlLnBybzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAMD99h9LxmjMwvLkaFP0hGY2yd7HUUvrdP+x40jQMpEzbHAlruDHuj5P/JFII3bNw1kbKZz8GDiE7MTw4HPn0tsmzZw1mWI7yqg/G1bOAELLWbze2Q87pEZhraZNqYiucYM1irm+Sm06NedYHXiti+fxZtN+0X67K6aXwJMVtB8ULjJmolObtrLzQ3SuTkYuI8rGHrv0UBNURgID5K06zI88WHiK0CHP4t+zzg5WReZVsVtiNMCgYybkm/XbcJLVr5cselEwJ1unGqvCcQcRQ9CsUZfftj3t2lDx9B1X+frDU8q4kv0c9tzREu9b5G3kut+0mD26+aW8gnZ5tAAfdtkCAwEAAaOCAn4wggJ6MA4GA1UdDwEB/wQEAwIFoDATBgNVHSUEDDAKBggrBgEFBQcDATAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBQ+3kSZ8xZLX8hG/g9ZTDnKFyY3HjAfBgNVHSMEGDAWgBQl4hgOsleRlCrl1F2GkIPeU7O4kjB4BggrBgEFBQcBAQRsMGowNQYIKwYBBQUHMAGGKWh0dHA6Ly9vY3NwLnBraS5nb29nL3MvZ3RzMWQ0L3Z1MFQtaVJwRGs0MDEGCCsGAQUFBzAChiVodHRwOi8vcGtpLmdvb2cvcmVwby9jZXJ0cy9ndHMxZDQuZGVyMCIGA1UdEQQbMBmCF2JhY2tlbmQucGFzc2N1bHR1cmUucHJvMCEGA1UdIAQaMBgwCAYGZ4EMAQIBMAwGCisGAQQB1nkCBQMwPAYDVR0fBDUwMzAxoC+gLYYraHR0cDovL2NybHMucGtpLmdvb2cvZ3RzMWQ0L05xbjRkbkJ6V0NRLmNybDCCAQQGCisGAQQB1nkCBAIEgfUEgfIA8AB1AHb/iD8KtvuVUcJhzPWHujS0pM27KdxoQgqf5mdMWjp0AAABjKWNPkIAAAQDAEYwRAIgaw+3SJrq/7GIZGVaoBh88Fl4tHWxtkJMSl/hdXvwuLkCICuuWJV/2Kw70kCmSZIMKyjBLQAnJbb4l+jLIKsGmYnjAHcASLDja9qmRzQP5WoC+p0w6xxSActW3SyB2bu/qznYhHMAAAGMpY0+NgAABAMASDBGAiEAkJ9FT2kfkbFDFTGNQ7GhT0Ft5+04fZ2gQIB+Lz+HybcCIQDnaQNCaubwvTyPpfhRUzVWUZX1q9yg3PZWzJ/IcBPUKTANBgkqhkiG9w0BAQsFAAOCAQEACtPzTn60c77is9iG6jxoru0UwoeP5FwvbFGyec8x2732BXX/kxsG++pvlflrWnL3K8wTdIU721BBFPJueSq8pveBPV/NEeEhfFQH+E+AaF8HMtF9Qbs+nUQtsHlRLPktAV2MIKXAc6KWzxkSk3ftLkSCxWdoqdx1lkxBgap1wuAY4NXAj9au+c6D9M8tXeXIBYPDLmS1uPMZDjIVpl409KmrzA3601gh5aZ80nzqzAowP6Y8fdPF/r8Kvpe9UP+229fg5mMWhzFGH34BZ4j1eygPJ2j2DUazSV3OC9B5MEFxtgKjFe1gi2pyOECp5+wBY9CwfsxO+kKRAW8Qrd1WAQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","backend.passculture.pro/34.110.250.196","443","OK","backend.passculture.pro","",""
"cert_commonName_wo_SNI","backend.passculture.pro/34.110.250.196","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","backend.passculture.pro/34.110.250.196","443","INFO","backend.passculture.pro","",""
"cert_trust","backend.passculture.pro/34.110.250.196","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","backend.passculture.pro/34.110.250.196","443","OK","passed.","",""
"cert_certificatePolicies_EV","backend.passculture.pro/34.110.250.196","443","INFO","no","",""
"cert_expirationStatus","backend.passculture.pro/34.110.250.196","443","MEDIUM","expires < 60 days (54)","",""
"cert_notBefore","backend.passculture.pro/34.110.250.196","443","INFO","2023-12-26 08:55","",""
"cert_notAfter","backend.passculture.pro/34.110.250.196","443","MEDIUM","2024-03-25 09:51","",""
"cert_extlifeSpan","backend.passculture.pro/34.110.250.196","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","backend.passculture.pro/34.110.250.196","443","INFO","not present","",""
"cert_crlDistributionPoints","backend.passculture.pro/34.110.250.196","443","INFO","http://crls.pki.goog/gts1d4/Nqn4dnBzWCQ.crl","",""
"cert_ocspURL","backend.passculture.pro/34.110.250.196","443","INFO","http://ocsp.pki.goog/s/gts1d4/vu0T-iRpDk4","",""
"OCSP_stapling","backend.passculture.pro/34.110.250.196","443","LOW","not offered","",""
"cert_mustStapleExtension","backend.passculture.pro/34.110.250.196","443","INFO","--","",""
"DNS_CAArecord","backend.passculture.pro/34.110.250.196","443","LOW","--","",""
"certificate_transparency","backend.passculture.pro/34.110.250.196","443","OK","yes (certificate extension)","",""
"certs_countServer","backend.passculture.pro/34.110.250.196","443","INFO","3","",""
"certs_list_ordering_problem","backend.passculture.pro/34.110.250.196","443","INFO","no","",""
"cert_caIssuers","backend.passculture.pro/34.110.250.196","443","INFO","GTS CA 1D4 (Google Trust Services LLC from US)","",""
"intermediate_cert <#1>","backend.passculture.pro/34.110.250.196","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFjDCCA3SgAwIBAgINAgCOsgIzNmWLZM3bmzANBgkqhkiG9w0BAQsFADBHMQswCQYDVQQGEwJVUzEiMCAGA1UEChMZR29vZ2xlIFRydXN0IFNlcnZpY2VzIExMQzEUMBIGA1UEAxMLR1RTIFJvb3QgUjEwHhcNMjAwODEzMDAwMDQyWhcNMjcwOTMwMDAwMDQyWjBGMQswCQYDVQQGEwJVUzEiMCAGA1UEChMZR29vZ2xlIFRydXN0IFNlcnZpY2VzIExMQzETMBEGA1UEAxMKR1RTIENBIDFENDCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBAKvAqqPCE27l0w9zC8dTPIE89bA+xTmDaG7y7VfQ4c+mOWhlUebUQpK0yv2r678RJExK0HWDjeq+nLIHN1Em5j6rARZixmyRSjhIR0KOQPGBMUldsaztIIJ7O0g/82qj/vGDl//3t4tTqxiRhLQnTLXJdeB+2DhkdU6IIgx6wN7E5NcUH3Rcsejcqj8p5Sj19vBm6i1FhqLGymhMFroWVUGO3xtIH91dsgy4eFKcfKVLWK3o2190Q0Lm/SiKmLbRJ5Au4y1euFJm2JM9eB84Fkqa3ivrXWUeVtye0CQdKvsY2FkazvxtxvusLJzLWYHk55zcRAacDA2SeEtBbQfD1qsCAwEAAaOCAXYwggFyMA4GA1UdDwEB/wQEAwIBhjAdBgNVHSUEFjAUBggrBgEFBQcDAQYIKwYBBQUHAwIwEgYDVR0TAQH/BAgwBgEB/wIBADAdBgNVHQ4EFgQUJeIYDrJXkZQq5dRdhpCD3lOzuJIwHwYDVR0jBBgwFoAU5K8rJnEaK0gnhS9SZizv8IkTcT4waAYIKwYBBQUHAQEEXDBaMCYGCCsGAQUFBzABhhpodHRwOi8vb2NzcC5wa2kuZ29vZy9ndHNyMTAwBggrBgEFBQcwAoYkaHR0cDovL3BraS5nb29nL3JlcG8vY2VydHMvZ3RzcjEuZGVyMDQGA1UdHwQtMCswKaAnoCWGI2h0dHA6Ly9jcmwucGtpLmdvb2cvZ3RzcjEvZ3RzcjEuY3JsME0GA1UdIARGMEQwCAYGZ4EMAQIBMDgGCisGAQQB1nkCBQMwKjAoBggrBgEFBQcCARYcaHR0cHM6Ly9wa2kuZ29vZy9yZXBvc2l0b3J5LzANBgkqhkiG9w0BAQsFAAOCAgEAIVToy24jwXUr0rAPc924vuSVbKQuYw3nLflLfLh5AYWEeVl/Du18QAWUMdcJ6o/qFZbhXkBH0PNcw97thaf2BeoDYY9Ck/b+UGluhx06zd4EBf7H9P84nnrwpR+4GBDZK+Xh3I0tqJy2rgOqNDflr5IMQ8ZTWA3yltakzSBKZ6XpF0PpqyCRvp/NCGv2KX2TuPCJvscp1/m2pVTtyBjYPRQ+QuCQGAJKjtN7R5DFrfTqMWvYgVlpCJBkwlu7+7KY3cTIfzE7cmALskMKNLuDz+RzCcsYTsVaU7Vp3xL60OYhqFkuAOOxDZ6pHOj9+OJmYgPmOT4X3+7L51fXJyRH9KfLRP6nT31D5nmsGAOgZ26/8T9hsBW1uo9ju5fZLZXVVS5H0HyIBMEKyGMIPhFWrlt/hFS28N1zaKI0ZBGD3gYgDLbiDT9fGXstpk+Fmc4olVlWPzXe81vdoEnFbr5M272HdgJWo+WhT9BYM0Ji+wdVmnRffXgloEoluTNcWzc41dFpgJu8fF3LG0gl2ibSYiCi9a6hvU0TppjJyIWXhkJTcMJlPrWx1VytEUGrX2l0JDwRjW/656r0KVB02xHRKvm2ZKI03TglLIpmVCK3kBKkKNpBNkFt8rhafcCKOb9Jx/9tpNFlQTl7B39rJlJWkR17QnZqVptFePFORoZmFzM=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","backend.passculture.pro/34.110.250.196","443","INFO","64E286B76063602A372EFD60CDE8DB2656A49EE15E84254B3D6EB5FE38F4288B","",""
"intermediate_cert_notBefore <#1>","backend.passculture.pro/34.110.250.196","443","INFO","2020-08-13 00:00","",""
"intermediate_cert_notAfter <#1>","backend.passculture.pro/34.110.250.196","443","OK","2027-09-30 00:00","",""
"intermediate_cert_expiration <#1>","backend.passculture.pro/34.110.250.196","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","backend.passculture.pro/34.110.250.196","443","INFO","GTS CA 1D4 <-- GTS Root R1","",""
