"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","HTTP","",""
"pre_128cipher","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","No 128 cipher limit bug","",""
"SSLv2","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","not offered","",""
"SSLv3","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","not offered","",""
"TLS1","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","not offered","",""
"TLS1_1","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","not offered","",""
"TLS1_2","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","offered","",""
"TLS1_3","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","offered with final","",""
"ALPN","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","http/1.1","",""
"cipherlist_NULL","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_LOW","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","not offered","",""
"cipherlist_STRONG_FS","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","offered","",""
"cipher_order-tls1_2","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 256   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 256   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","NOT a cipher order configured","",""
"FS","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","offered","",""
"FS_ciphers","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","dashlord.romin.app.cc.anje-justice.fr/185.42.117.108","443","OK","prime256v1 secp384r1","",""
