"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","HTTP","",""
"pre_128cipher","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","No 128 cipher limit bug","",""
"SSLv2","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","not offered","",""
"SSLv3","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","not offered","",""
"TLS1","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","not offered","",""
"TLS1_1","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","not offered","",""
"TLS1_2","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","offered","",""
"TLS1_3","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","offered with final","",""
"ALPN_HTTP2","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","h2","",""
"ALPN","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","http/1.1","",""
"cipherlist_NULL","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","not offered","","CWE-327"
"cipherlist_LOW","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","not offered","",""
"cipherlist_STRONG_FS","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","offered","",""
"cipher_order-tls1_2","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","server","",""
"cipherorder_TLSv1_2","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","server","",""
"FS","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","offered","",""
"FS_ciphers","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","'renegotiation info/#65281' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","valid for 7200 seconds only (<daily)","",""
"SSL_sessionID_support","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","yes","",""
"sessionresumption_ticket","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","supported","",""
"sessionresumption_ID","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","not supported","",""
"TLS_timestamp","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","random","",""
"certificate_compression","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","none","",""
"clientAuth","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","none","",""
"cert_numbers","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","1","",""
"cert_signatureAlgorithm","forum.inclusion.beta.gouv.fr/185.31.40.19","443","OK","SHA256 with RSA","",""
"cert_keySize","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","04808F1B295F4FBCA6E004D99C3A3E446E19","",""
"cert_serialNumberLen","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","18","",""
"cert_fingerprintSHA1","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","704C580795476D6041BD57AFBE977D3D2EE2D23F","",""
"cert_fingerprintSHA256","forum.inclusion.beta.gouv.fr/185.31.40.19","443","INFO","252F1799CA1B253DCF210A681BC27400754CDC04AC4C862DAE10019399369AEC","",""
