"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","monprojetsup.fr/162.19.61.97","443","INFO","HTTP","",""
"pre_128cipher","monprojetsup.fr/162.19.61.97","443","INFO","No 128 cipher limit bug","",""
"SSLv2","monprojetsup.fr/162.19.61.97","443","OK","not offered","",""
"SSLv3","monprojetsup.fr/162.19.61.97","443","OK","not offered","",""
"TLS1","monprojetsup.fr/162.19.61.97","443","INFO","not offered","",""
"TLS1_1","monprojetsup.fr/162.19.61.97","443","INFO","not offered","",""
"TLS1_2","monprojetsup.fr/162.19.61.97","443","OK","offered","",""
"TLS1_3","monprojetsup.fr/162.19.61.97","443","OK","offered with final","",""
"ALPN","monprojetsup.fr/162.19.61.97","443","INFO","http/1.1","",""
"cipherlist_NULL","monprojetsup.fr/162.19.61.97","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","monprojetsup.fr/162.19.61.97","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","monprojetsup.fr/162.19.61.97","443","OK","not offered","","CWE-327"
"cipherlist_LOW","monprojetsup.fr/162.19.61.97","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","monprojetsup.fr/162.19.61.97","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","monprojetsup.fr/162.19.61.97","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","monprojetsup.fr/162.19.61.97","443","INFO","not offered","",""
"cipherlist_STRONG_FS","monprojetsup.fr/162.19.61.97","443","OK","offered","",""
"cipher_order-tls1_2","monprojetsup.fr/162.19.61.97","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_2_xc030","monprojetsup.fr/162.19.61.97","443","OK","TLSv1.2   xc030   ECDHE-RSA-AES256-GCM-SHA384       ECDH 521   AESGCM      256      TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_x9f","monprojetsup.fr/162.19.61.97","443","OK","TLSv1.2   x9f     DHE-RSA-AES256-GCM-SHA384         DH 2048    AESGCM      256      TLS_DHE_RSA_WITH_AES_256_GCM_SHA384","",""
"cipher-tls1_2_xc02f","monprojetsup.fr/162.19.61.97","443","OK","TLSv1.2   xc02f   ECDHE-RSA-AES128-GCM-SHA256       ECDH 521   AESGCM      128      TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256","",""
"cipher-tls1_2_x9e","monprojetsup.fr/162.19.61.97","443","OK","TLSv1.2   x9e     DHE-RSA-AES128-GCM-SHA256         DH 2048    AESGCM      128      TLS_DHE_RSA_WITH_AES_128_GCM_SHA256","",""
"supportedciphers_TLSv1_2","monprojetsup.fr/162.19.61.97","443","INFO","ECDHE-RSA-AES256-GCM-SHA384 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","monprojetsup.fr/162.19.61.97","443","INFO","NOT a cipher order configured","",""
"FS","monprojetsup.fr/162.19.61.97","443","OK","offered","",""
"FS_ciphers","monprojetsup.fr/162.19.61.97","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","monprojetsup.fr/162.19.61.97","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","monprojetsup.fr/162.19.61.97","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'next protocol/#13172' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","monprojetsup.fr/162.19.61.97","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","monprojetsup.fr/162.19.61.97","443","INFO","yes","",""
"sessionresumption_ticket","monprojetsup.fr/162.19.61.97","443","INFO","not supported","",""
"sessionresumption_ID","monprojetsup.fr/162.19.61.97","443","INFO","supported","",""
"TLS_timestamp","monprojetsup.fr/162.19.61.97","443","INFO","random","",""
"certificate_compression","monprojetsup.fr/162.19.61.97","443","INFO","none","",""
"clientAuth","monprojetsup.fr/162.19.61.97","443","INFO","none","",""
"cert_numbers","monprojetsup.fr/162.19.61.97","443","INFO","1","",""
"cert_signatureAlgorithm","monprojetsup.fr/162.19.61.97","443","OK","SHA256 with RSA","",""
"cert_keySize","monprojetsup.fr/162.19.61.97","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","monprojetsup.fr/162.19.61.97","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","monprojetsup.fr/162.19.61.97","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","monprojetsup.fr/162.19.61.97","443","INFO","03C27213A032139D4E9C3DD9988D2FF86538","",""
"cert_serialNumberLen","monprojetsup.fr/162.19.61.97","443","INFO","18","",""
