"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","opentermsarchive.org/148.253.96.193","443","INFO","HTTP","",""
"pre_128cipher","opentermsarchive.org/148.253.96.193","443","INFO","No 128 cipher limit bug","",""
"SSLv2","opentermsarchive.org/148.253.96.193","443","OK","not offered","",""
"SSLv3","opentermsarchive.org/148.253.96.193","443","OK","not offered","",""
"TLS1","opentermsarchive.org/148.253.96.193","443","INFO","not offered","",""
"TLS1_1","opentermsarchive.org/148.253.96.193","443","INFO","not offered","",""
"TLS1_2","opentermsarchive.org/148.253.96.193","443","OK","offered","",""
"TLS1_3","opentermsarchive.org/148.253.96.193","443","OK","offered with final","",""
"ALPN_HTTP2","opentermsarchive.org/148.253.96.193","443","OK","h2","",""
"ALPN","opentermsarchive.org/148.253.96.193","443","INFO","http/1.1","",""
"cipherlist_NULL","opentermsarchive.org/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","opentermsarchive.org/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","opentermsarchive.org/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_LOW","opentermsarchive.org/148.253.96.193","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","opentermsarchive.org/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","opentermsarchive.org/148.253.96.193","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","opentermsarchive.org/148.253.96.193","443","INFO","not offered","",""
"cipherlist_STRONG_FS","opentermsarchive.org/148.253.96.193","443","OK","offered","",""
"cipher_order-tls1_2","opentermsarchive.org/148.253.96.193","443","OK","server","",""
"cipherorder_TLSv1_2","opentermsarchive.org/148.253.96.193","443","INFO","ECDHE-RSA-AES256-GCM-SHA384","",""
"cipher_order","opentermsarchive.org/148.253.96.193","443","OK","server","",""
"FS","opentermsarchive.org/148.253.96.193","443","OK","offered","",""
"FS_ciphers","opentermsarchive.org/148.253.96.193","443","INFO","DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","opentermsarchive.org/148.253.96.193","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","opentermsarchive.org/148.253.96.193","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","opentermsarchive.org/148.253.96.193","443","INFO","valid for 300 seconds only (<daily)","",""
"SSL_sessionID_support","opentermsarchive.org/148.253.96.193","443","INFO","yes","",""
"sessionresumption_ticket","opentermsarchive.org/148.253.96.193","443","INFO","not supported","",""
"sessionresumption_ID","opentermsarchive.org/148.253.96.193","443","INFO","not supported","",""
"TLS_timestamp","opentermsarchive.org/148.253.96.193","443","INFO","random","",""
"certificate_compression","opentermsarchive.org/148.253.96.193","443","INFO","none","",""
"clientAuth","opentermsarchive.org/148.253.96.193","443","INFO","none","",""
"cert_numbers","opentermsarchive.org/148.253.96.193","443","INFO","1","",""
"cert_signatureAlgorithm","opentermsarchive.org/148.253.96.193","443","OK","SHA256 with RSA","",""
"cert_keySize","opentermsarchive.org/148.253.96.193","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","opentermsarchive.org/148.253.96.193","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","opentermsarchive.org/148.253.96.193","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","opentermsarchive.org/148.253.96.193","443","INFO","04117CC500E0A23A672710DA1ED9A6DCE68E","",""
"cert_serialNumberLen","opentermsarchive.org/148.253.96.193","443","INFO","18","",""
"cert_fingerprintSHA1","opentermsarchive.org/148.253.96.193","443","INFO","09E90D47D72CD65A21B67EE3D41C352517F55EDB","",""
"cert_fingerprintSHA256","opentermsarchive.org/148.253.96.193","443","INFO","1C7216350484FF031D3030015E0E7F74DE72DCE7D202500B5C9DA583FDD824AD","",""
