"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","INFO","HTTP","",""
"pre_128cipher","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","INFO","No 128 cipher limit bug","",""
"SSLv2","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","not offered","",""
"SSLv3","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","not offered","",""
"TLS1","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","LOW","offered (deprecated)","",""
"TLS1_1","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","LOW","offered (deprecated)","",""
"TLS1_2","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","offered","",""
"TLS1_3","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","INFO","not offered + downgraded to weaker protocol","",""
"ALPN","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","INFO","http/1.1","",""
"cipherlist_NULL","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","not offered","","CWE-327"
"cipherlist_LOW","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","LOW","offered","","CWE-310"
"cipherlist_STRONG_NOFS","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","offered","",""
"cipherlist_STRONG_FS","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","OK","offered","",""
"cipher_order-tls1","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","INFO","NOT a cipher order configured","",""
"cipher-tls1_xc014","sirius.apprentissage.beta.gouv.fr/141.95.167.141","443","LOW","TLSv1   xc014   ECDHE-RSA-AES256-SHA              ECDH 521   AES         256      TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA","",""
